target	regulator	var.exp.median
Lrrtm3	Dmbx1	0.6805951470554411
Igsf11	Cebpd	0.4414935477516577
Stxbp6	Relb	0.5149846954817192
Rgs20	Cebpb	0.5363408130433452
Gm28928	Lef1	0.6310020715684042
Pip5k1b	Arid5a	0.5369559185940846
Camk1d	Foxo3	0.4393614512594228
Amotl2	Runx3	0.4563234736861096
Gm43507	Fosb	0.5058401178737587
Stxbp5l	Stat3	0.5712569726585084
Cttnbp2nl	Nkx2-4	0.4412892036490905
Prkcg	Hmx2	0.4162309407212879
Npas2	Zfp652	0.4606787929199797
Clmp	Rfx6	0.4578912261800908
Pde5a	Tef	0.6438805473240331
Gm31218	Six4	0.453225826181477
Gm16183	Nfatc4	0.4720900805312783
4933406F09Rik	Cux2	0.5321605675783144
Malat1	Stat5a	0.433062209302481
Camk2a	Rfx7	0.4550553293345188
Cabp1	Zfp652	0.4943532673836947
Phf20l1	Irf4	0.5722800532143206
Lsamp	Foxo3	0.4505957879397577
Epha10	E2f4	0.4300949331668114
Csmd2os	Cebpe	0.4981626249948173
Arnt2	Trp53	0.4226987349557293
Npas3	Lyl1	0.4251658849896993
Brinp2	Hey2	0.4289186069806705
Msi2	Tcf21	0.4756397739302554
Col19a1	Arid3b	0.4268373621197316
Selenot	Hmbox1	0.4302939843366855
Cep112	Neurod1	0.5832658385419247
Adamts6	Hdx	0.4225741220261532
Ptprt	Mecp2	0.4216071178393506
Ksr1	Msgn1	0.4455541264936976
Tmem45b	Hoxa11	0.504358349967932
Cd47	Tlx2	0.7677453065913371
Gad2	Six1	0.4872977777670319
Actn2	Nr4a1	0.462291183773188
Dusp10	Hoxb4	0.4251706860726778
Anks1b	Prdm9	0.5189795735219584
Epb41	Vax1	0.4286667889290936
Hdac4	Atf3	0.4195214099641951
9630013A20Rik	Atf2	0.4356809373207953
Ccdc102a	Crebzf	0.4307749168900095
Ppp3ca	E2f1	0.4226327045854554
Tbc1d1	Lyl1	0.4226878781509516
Thrb	Hoxd13	0.4453534225831619
Pja2	Lmx1b	0.5259393615130333
Lrrc38	Ascl1	0.45651249581921705
Zbtb16	Rxrg	0.4490409407736623
Cntnap4	Foxj2	0.4686053042587028
Gm44257	A1JVI6_MOUSE	0.4570373351332734
4930444A19Rik	Hoxa1	0.5046010201467135
Nup93	Junb	0.490990458079343
Cit	Sox10	0.5146010524005159
Gabrd	Tef	0.40089090840935465
Prkcq	Hoxa11	0.4623387521176425
Gucy1a1	Cebpd	0.4335842748402395
Snhg11	Hoxa1	0.5244438683733312
Plch2	Barhl2	0.5023455488862376
Ecel1	Hoxc12	0.5233825423007871
A930015D03Rik	Phf21a	0.4273700307565968
6330576A10Rik	Nr1i3	0.5831494893626119
Kcnj3	Ahctf1	0.4104981223295093
Edem1	Foxj2	0.4815956031351637
A330015K06Rik	Lhx8	0.4102555271060068
Atp6v0b	Elk4	0.4033051618534998
Fbxw7	Six6	0.4206772636274456
Cnksr2	Myog	0.4415558846827245
Nr2f2	Irf2	0.4203220958211135
Adamts5	Zfp410	0.4417169051547147
Gprin3	Spi1	0.4543153991135165
Gm13052	Hmx2	0.4501039387236413
Atp8a2	Mef2a	0.4205300195865502
Hs6st3	Srebf1	0.4486117358996496
Gm32036	Foxg1	0.4001562873774015
Gm26848	Prdm9	0.4950846978837733
Gm28258	Neurod1	0.4857179965371228
Srgap1	Lhx6	0.4903354135355775
Lypd6	Hoxa13	0.5431024570746412
Klhl5	Arid5a	0.43192235633143455
Nxph2	Pax5	0.6185174744232809
Nxph1	Ovol1	0.4932107997735405
Stard5	Rfx6	0.4504018886160257
Gm26507	Sox30	0.4701153156586623
Stk39	Phf21a	0.4443930680055907
Gulp1	Bbx	0.44811755485636
Eya1	Hoxa11	0.4480038852145513
Tmem196	Figla	0.3986634330983335
Dnm3	Alx4	0.3906271830719644
Epha4	Arid5a	0.5706458642180594
Tmem132d	Onecut1	0.43827167689489455
Siah3	Foxk1	0.6537090049893759
Mapk10	Irf8	0.5980189123986563
Kcnk2	Nr2e1	0.4045558533012689
Ptprt	Aire	0.4162064064304004
Olfml2a	Hnf1b	0.4293279023837571
Setbp1	Bhlhe41	0.4239090513761671
Gm1992	Hoxb9	0.457887556460971
Gsg1l	Sox30	0.4257750670702718
Cobl	Lhx6	0.4281041020682782
Tox3	Dlx3	0.6215275529326975
Mitf	Msgn1	0.622234682570771
5530401A14Rik	Twist2	0.4640702050338887
Coro2a	Tfap2b	0.4704002004966748
Bcl6	Ddit3	0.3896615753708288
Gm15511	Hnf4g	0.6444595014094852
Cacna1c	Evx2	0.4495473222624231
Bcl2l11	Hoxc12	0.4161945891160729
Vsnl1	Taf1	0.4010955874705386
Pcdh7	Ppara	0.4957731274921464
Prkcq	Nfyc	0.4282497611920341
Tmem132d	Gm5294	0.4795898919236287
Cdh8	Ascl1	0.4098507357594291
Srrm4os	Cebpd	0.5158249299363882
Lingo2	Foxq1	0.4166426001686811
